id,title,genres,rating,region
1815,4-Day 3-Night Nile Cruise from Aswan to Luxor,trip|high-price|long,,
1816,"8-Hour Private Tour of the Pyramids, Sphinx, Egyptian Museum and Bazaar including Camel Ride and Lunch from Cairo",trip|low-price|short,,
1817,Private Tour: 8 Days 7 Nights Pyramids and Nile Cruise by Air from Cairo,trip|high-price|long,,
1818,4-Day 3-Night Nile Cruise from Aswan to Luxor - Private Tour,trip|high-price|long,,
1819,Day trip to Cairo by Bus,trip|moderate-price|fullday,,
1820,"8-Day Best of Egypt Tour: Cairo, Nile Cruise, Abu Simbel",trip|high-price|long,,
1821,"Private 7-Night Cairo, Aswan, and Nile Cruise with Flights",trip|high-price|long,,
1822,"Private Tour: Giza Pyramids, Sphinx, Memphis, Sakkara",trip|moderate-price|short,,
1823,"4-Day, 3-Night Nile cruise from Aswan",trip|high-price|long,,
1824,Private Tour: Abu Simbel Flight and Tour from Aswan,trip|high-price|short,,
1825,"2-Day Private Guided Tour to Giza, Saqqara, Dahshur and Cairo including Camel Ride, Felucca Sailing, Dinner Cruise and Sound and Light Show",trip|moderate-price|long,,
1826,Full-Day Guided Private Tour to Pyramids of Giza Dahshur Sakkara and Memphis,trip|low-price|short,,
1827,NILE CRUISE LUXOR ASWAN 5 DAYS,trip|high-price|long,,
1828,Full-Day Luxor Tour from Cairo by Plane,trip|high-price|short,,
1829,2-Day Ancient Egypt and Old Cairo Highlights Tour,trip|moderate-price|long,,
1830,"Full-Day Tour from Cairo: Giza Pyramids, Sphinx, Memphis, and Saqqara",trip|moderate-price|short,,
1831,10-Day Ancient Egypt Tour with Nile Cruise,trip|high-price|long,,
1832,Egypt 9 Days- Cairo Pyramids and Nile Cruise from Luxor to Aswan and Abu Simbel,trip|high-price|long,,
1833,4 days in Cairo Giza Luxor and Alexandria,trip|high-price|long,,
1834,"Dinner Cruise on the Nile River with Buffet, Cultural Show and Private Transfer in Cairo",trip|low-price|short,,
1835,Private Guided Full-Day Tour to Alexandria from Cairo,trip|low-price|short,,
1836,2 days 1 night Luxor and Aswan and abu simple by Round flight from Cairo,trip|high-price|long,,
1837,Best 2 Days 1 Night Travel Package to Aswan & Luxor from Cairo by Flights,trip|high-price|long,,
1838,"4-Day Tour: Cairo, Luxor, Alexandria, Sound and Light Show, Dinner cruise",trip|high-price|long,,
1839,Cairo Airport Private Arrival Transfer,trip|low-price|short,,
1840,Private Guided Day trip to Luxor from Cairo by Plane,trip|high-price|short,,
1841,4-Day Nile River Cruise from Aswan to Luxor with Optional Private Guide,trip|high-price|long,,
1842,Day trip to Luxor from Hurghada with Hotel Pickup and Lunch,trip|moderate-price|short,,
1843,"tripHot Air Balloon Ride in Luxor, Egypt - VIP",trip|moderate-price|short,,
1844,Lake Nasser Fishing Safari trip with Lunch Included,trip|high-price|short,,
1845,Private Guided Night Tour of Cairo,trip|low-price|short,,
1846,Book 2 days 1 night Luxor and Aswan and Abu Simble by round flight from Cairo,trip|high-price|long,,
1847,Egypt 8 Days 7 Nights Cairo with Nile cruise from Aswan to Luxor With flight,trip|high-price|long,,
1848,"3-Day, 2-Night Private Desert Safari Tour to Baharya Oasis from Cairo",trip|moderate-price|long,,
1849,"Group tour 9-Day Nile Jewel, Nile Cruise & Hurghada Red Sea",trip|high-price|long,,
1850,"Private Tour: Luxor West Bank, Valley of the Kings and Hatshepsut Temple",trip|moderate-price|short,,
1851,Private Day Tour to Abu Simbel Temples from Aswan,trip|moderate-price|short,,
1852,"Private Tour: Luxor East Bank, Karnak and Luxor Temples",trip|moderate-price|short,,
1853,"Full-Day Luxor Tour: Valley of the Kings, Temple of Hatshepsut, Karnak Temple",trip|moderate-price|short,,
1854,Half Day Tour to Giza Pyramids with Camel Ride,trip|low-price|short,,
1855,"Private Tour: Egyptian Museum, Alabaster Mosque, Khan el-Khalili",trip|moderate-price|short,,
1856,Private Full-Day Tour: Alexandria Historical Sites from Cairo,trip|moderate-price|short,,
1857,3-Day Tour around Cairo and to Alexandria from Cairo,trip|moderate-price|long,,
