itemid,title,genres,rating,region
1,9-Hour Dolphin Snorkeling Tour from Hurghada,trip|moderate-price|snorkling|short,3,Hurghada
2,3-Hour Desert Safari by Quad Bike,trip|moderate-price|safari|short,3.5,Hurghada
3,Ras Mohammed National Park: Snorkelling Trip,trip|moderate-price|snorkling|short,4,Ras Mohammed 
4,Dinner Cruise on the Nile River,trip|low-price|cruise|short,3,Cairo
5,"Day Trip to Valley of the Kings, Luxor",trip|moderate-price|ancientEgypt|short,3.5,Luxor
6,Sea Scope Submarine Trip,trip|moderate-price|submarine|short,4,Sharm
7,"Safari Quad Biking, Bedouin Village and BBC Dinner",trip|moderate-price|safari|short,3,Fayoum
8,Hot Air Balloon Ride Over Luxor,trip|moderate-price|ride|short,3.5,Luxor
9,Giftun Island National Park Full-day Snorkeling Trip,trip|low-price|snorkling|short,4,Hurghada
10,Dive Trip with Two Dive Sites,trip|moderate-price|diving|short,3,Dahab
11,Cairo and Giza Full-Day Highlights Tour from Hurghada,trip|high-price|ancientEgypt|fullDay,3.5,Hurghada
12,"Full-Day Tour of Historical Alexandria from Cairo, Egypt",trip|moderate-price|ancientEgypt|fullDay,3,Cairo
13,From Luxor: Full-Day Tour of the East and West Banks,trip|high-price|ancientEgypt|fullDay,3.5,Luxor
14,"Cairo: Giza Pyramid, Sakkara & Memphis Full Day Private Tour",trip|moderate-price|ancientEgypt|fullDay,4,Cairo
15,Desert Quad Bike Safari in Hurghada to Bedouin Village,trip|moderate-price|safari|short,3,Hurghada
16,"Giza Pyramids, Sphinx and Sakkara - Private Full Day Tour",trip|moderate-price|ancientEgypt|fullDay,3.5,Cairo
17,Morning Quad Bike Adventure from Hurghada,trip|low-price|ride|safari|short,4,Hurghada
18,Giftun Island National Park Snorkel Trip from Hurghada,trip|low-price|ride|snorkling|short,3.5,Hurghada
19,Cairo: Giza Pyramids Sound and Light Show with Dinner,trip|moderate-price|ancientEgypt|short,4.5,Cairo
20,Hurghada: Full-Day Trip to Cairo and Giza Highlights,trip|high-price|ancientEgypt|fullDay,3,Hurghada
21,Hurghada: Day Trip to Cairo by Plane with Transfers,trip|high-price|ancientEgypt|fullDay,2.5,Hurghada
22,Luxor Guided Tour with Overnight 1st Class Train from Cairo,trip|high-price|ancientEgypt|long,4,Luxor
23,Hurghada: Parasailing Adventure,trip|moderate-price|Parasailing|short,4.5,Hurghada
24,Hurghada Horse Ride: Sea and Desert Tour,trip|high-price|safari|ride|sea|short,3.5,Hurghada
25,"Giza Pyramids & Sphinx, Saqqara & Dahshur Full-Day Tour",trip|moderate-price|ancientEgypt|fullDay,4,Cairo
26,Magawish and Giftun Islands Full-Day Snorkeling Trip,trip|moderate-price|snorkling|short,2.5,Hurghada
27,"Hurghada Jeep Safari, Camel Ride and Bedouin Village Tour",trip|moderate-price|safari|short,3,Hurghada
28,"Cairo: Giza Pyramids, Egyptian Museum & Bazaar Full-Day Tour",trip|low-price|ancientEgypt|short,3.5,Cairo
29,Hurghada: 5-Hour Private City Tour,trip|moderate-price|ancientEgypt|sea|short,2,Hurghada
30,From Hurghada Trip to Luxor and Valley of the Kings,trip|high-price|ancientEgypt|short,2.5,Hurghada
31,"Aswan: Tour to High Dam, The Obelisk & Philae Temple by Boat",trip|high-price|ancientEgypt|short,3,Aswan
32,Hurghada Sindbad Submarine: 3-Hour Tour,trip|high-price|diving|submarine|short,4.5,Hurghada
33,Ismaelia day tour ,trip|low-price|sea,4,Cairo
34,Great Pyramids and Sphinx Adventure,trip|low-price|ancientEgypt|short,5,Cairo
35,From Cairo: Full-Day Tour to Alexandria with Lunch,trip|high-price|ride|sea|fullDay,3,Cairo
36,Cairo: Quad Bike Desert Safari around Giza Pyramids,trip|moderate-price|ancientEgypt|safari|fullDay,5,Cairo
37,Hurghada Quad Bike Safari: Full-Day Trip to Sahara Park,trip|moderate-price|ride|safari|fullDay,4,Hurghada
38,Sunrise Hot Air Balloon Tour from Luxor,trip|high-price|ride|parsailing|short,3.5,Luxor
39,From Hurghada: Dolphin Watching Cruise and Massage,trip|moderate-price|cruise|short,2.5,Hurghada
40,Luxor Full-Day Sightseeing Tour from Hurghada,trip|high-price|ancientEgypt|fullDay,3.5,Luxor
41,Cairo: Sound & Light Show Giza Pyramids,trip|high-price|ancientEgypt|short,4,Cairo
42,Quad Bike Tour with Camel Ride,trip|low-price|ancientEgypt|short,4.5,Cairo
43,Sunset Desert Safari Trip by Quad Runner from Hurghada,trip|moderate-price|ride|safari|short,3,Hurghada
44,Giza Pyramids and Sphinx: Half-Day Private Tour,trip|low-price|ancientEgypt|short,3.5,Cairo
45,1-Hour Felucca Ride on the Nile,trip|low-price|ride|cruise|short,5,Cairo
